ID,FixedRef,AreaCodeID,Country,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type
5471,7116,11292,West Bank,,205471,,,"Shurta Street, 'Amira al-Ramuna, 4th Floor",,,Ramallah,,,Latin
5258,7132,11029,Afghanistan,,205258,,,"Street 13, Wazir Akbar Khan",,,Kabul,,,Latin
5259,7132,11160,Pakistan,,205259,,,"60-C, Nazim Ud Din Road, F 8/4",,,Islamabad,,,Latin
5260,7133,11029,Afghanistan,,205260,,,"Street 13, Wazir Akbar Khan",,,Kabul,,,Latin
5262,7135,11291,,,205262,,,,,,,,,Latin
5265,7138,11291,,,205265,,,,,,,,,Latin
5267,7140,11160,Pakistan,,205267,,,,,,,,,Latin
5268,7141,11211,United Kingdom,,205268,,,,,,,,,Latin
5269,7142,11190,Spain,,205269,,,,,,,,,Latin
5270,7143,11211,United Kingdom,,205270,,,,,,,,,Latin
5271,7144,11211,United Kingdom,,205271,,,,,,,,,Latin
5272,7145,11211,United Kingdom,,205272,,,,,,,,,Latin
5273,7146,11211,United Kingdom,,205273,,,,,,,,,Latin
5276,7148,11160,Pakistan,,205276,,,,,,Peshawar,,,Latin
5277,7149,11160,Pakistan,,205277,,,"House Number 56, E. Canal Road",University Town,,Peshawar,,,Latin
5279,7149,11029,Afghanistan,,205279,,,,,,,,,Latin
27123,7149,11160,Pakistan,,227123,,,Near old Badar Hospital in University Town,,,Peshawar,,,Latin
27124,7149,11160,Pakistan,,227124,,,Chinar Road,University Town,,Peshawar,,,Latin
29895,7149,11160,Pakistan,,229895,,,218 Khyber View Plaza,Jamrud Road,,Peshawar,,,Latin
29896,7149,11160,Pakistan,,229896,,,216 Khyber View Plaza,Jamrud Road,,Peshawar,,,Latin
20924,7150,11189,South Africa,,220924,,,Johannesburg,,,,,,Latin
5280,7151,11143,Mexico,,205280,,,"Blvd. Cuauhtemoc 1711, Oficina 305, Colonia Zona Rio",,,Tijuana,Baja California,,Latin
5281,7151,11143,Mexico,,205281,,,"Avenida Cuauhtemoc 1209, CP 22290, Colonia Zona Rio",,,Tijuana,Baja California,,Latin
5282,7151,11143,Mexico,,205282,,,"David Alfaro 25, CP 22320",,,Tijuana,Baja California,,Latin
5283,7152,11143,Mexico,,205283,,,"Blvd. Agua Caliente 1381, Colonia Revolucion",,,Tijuana,Baja California,,Latin
5284,7153,11143,Mexico,,205284,,,Tijuana,,,Baja California,,,Latin
5285,7154,11143,Mexico,,205285,,,"Km 25 Carr. Tijuana-Ensenada, Colonia Leyes de Reforma, Playas Rosarito",,,Rosarito,Baja California,CP 22710,Latin
5288,7156,11143,Mexico,,205288,,,"Blvd. Agua Caliente 1381, Colonia Revolucion",,,Tijuana,Baja California,,Latin
5289,7156,11143,Mexico,,205289,,,Avenida Rio Nazas 10202,,,Tijuana,Baja California,,Latin
5290,7156,11143,Mexico,,205290,,,Heroes de Nacozari 3213 Colonia Maya,,,Culiacan,Sinaloa,,Latin
5291,7156,11143,Mexico,,205291,,,Lerdo de Tejada 1879 Sector Juarez,,,Guadalajara,Jalisco,,Latin
